"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96"
"SBS1" 0.000886 0.00228 0.000177 0.00128 0.000312 0.00179 9.32e-05 2.23e-16 0.00158 0.000339 0.000587 2.23e-16 6.58e-05 0.00253 2.23e-16 5.88e-06 0.00186 0.00122 0.000115 0.00114 2.41e-05 7.68e-05 0.000352 2.23e-16 9.59e-06 0.000164 0.000166 2.23e-16 2.23e-16 0.000203 6.94e-05 0.00156 0.025 0.00632 0.365177429999997 0.00958 0.002 0.00027 0.196 0.000196 0.00444 9.28e-05 0.218 3.84e-05 0.00111 3.73e-05 0.11 2.23e-16 8e-04 0.00223 0.00114 0.000183 4.3e-05 0.000393 0.000324 0.00026 8.12e-05 0.000129 0.000246 0.000258 0.00672 2.23e-16 2.8e-05 0.00225 0.00109 0.00304 0.000106 0.00574 2.23e-16 0.0025 0.00036 4.26e-05 0.00105 0.0019 0.00117 7.13e-05 0.000255 0.00339 0.000416 0.00433 0.000172 0.000207 0.000268 0.000112 3.55e-05 0.000212 0.000128 0.000171 2.23e-16 2.23e-16 0.000348 1.46e-05 2.23e-16 5.51e-05 0.000583 2.23e-16
"SBS5" 0.012 0.00944 0.00185 0.00661 0.00743 0.00614 0.00346 0.00649 0.0102 0.00765 0.00234 0.00682 0.00786 0.00917 0.0023 0.0127 0.0101 0.0057 0.00172 0.0101 0.00696 0.00907 0.00249 0.00953 0.00468 0.00508 0.00151 0.00672 0.00781 0.0076 0.00171 0.0125 0.0326 0.0179 0.00618 0.022 0.0194 0.019 0.0175 0.0231 0.0194 0.0216 0.0123 0.0186 0.0203 0.023 0.0159 0.021 0.00738 0.00693 0.00912 0.0062 0.00354 0.00519 0.00501 0.0043 0.00367 0.00291 0.00411 0.00322 0.00631 0.00414 0.00479 0.00875 0.046 0.0134 0.0382 0.0383 0.0133 0.0104 0.0208 0.0149 0.0141 0.00794 0.015 0.0137 0.018 0.00971 0.0127 0.0185 0.00386 0.0026 0.00794 0.00483 0.00259 0.00461 0.00613 0.0073 0.00252 0.00171 0.0053 0.00235 0.00522 0.00656 0.00694 0.0135
"SBS7a" 6.7e-05 0.000179 7.12e-05 0.000248 0.000455 0.00024 2.23e-16 0.000372 4.06e-05 0.000138 4.25e-05 2.23e-16 0.00039 0.000636 3.44e-05 0.000613 6.49e-05 2.16e-05 5.08e-05 9.56e-05 2.23e-16 0.000131 7.75e-05 9.56e-05 1.96e-05 3.32e-05 4.51e-05 4.2e-05 2.23e-16 5.09e-05 6.35e-06 0.000281 0.000122 0.0177 2.23e-16 0.00742 0.05 0.0553 0.00671 0.0566 8.49e-05 0.0117 5.52e-06 0.0161 0.238 0.331648929999998 0.0741 0.107 0.00194 0.00067 0.000587 0.00371 0.000177 0.000261 0.000112 0.000371 0.000401 0.000224 0.00029 0.000306 0.000356 0.000389 2.23e-16 0.000798 0.00049 0.000227 0.000187 0.000615 0.000451 0.000259 0.000104 0.00182 0.000101 7.41e-05 7.25e-05 0.000811 0.00215 0.000596 0.000319 0.000812 0.000473 0.000247 0.000276 0.000309 8.42e-05 0.000172 2.23e-16 2.65e-05 9.06e-05 0.000121 0.000325 0.000835 0.000128 0.000116 2.23e-16 8.29e-05
"SBS7b" 0.00233 0.000461 0.000186 0.00071 0.00114 0.00155 0.000408 0.00149 0.000746 0.000215 7.29e-05 0.000147 0.0029 0.00352 3e-04 0.00141 8.56e-06 0.000189 0.000505 0.000285 0.000458 0.00096 0.000791 0.00089 5.11e-05 0.000452 0.000337 0.000277 0.000254 0.00162 0.000364 0.000714 0.00141 0.0381 0.000543 0.0108 0.107 0.182 0.0221 0.126 0.000855 0.0263 0.000176 0.00539 0.00661 0.21073646 0.0574 0.102 0.00249 0.000467 0.00156 0.00829 0.00112 0.000958 0.000883 0.000112 0.000526 0.000256 0.000656 5.59e-05 0.00324 0.00224 0.0017 2.22e-16 0.00102 0.000456 0.0015 0.00215 0.00153 0.00084 0.00073 0.00573 0.000266 2.22e-16 0.000529 0.00685 0.006 0.00173 0.00381 0.00297 8.44e-05 0.000932 0.00147 0.000733 0.000359 0.000792 0.00129 3.68e-06 0.000323 0.000321 0.00241 0.00183 0.000955 0.00155 0.00135 0.00177
"SBS10a" 0.00219 0.00177 0.00015 0.017 0.00318 0.000202 4.64e-05 0.0173 0.00121 0.000441 1.05e-05 0.0111 0.094 0.00997 0.00116 0.670077649999996 2.23e-16 2.43e-05 2.23e-16 2.23e-16 4.57e-05 2.23e-16 2.01e-05 3.01e-05 1.5e-05 8.31e-05 2.23e-16 3.54e-05 5.55e-05 2.23e-16 2.23e-16 5.45e-05 0.00104 0.000834 0.00557 0.00299 3.68e-05 2.23e-16 2.23e-16 0.000103 4.22e-05 0.0125 0.0149 0.0135 0.000366 0.00276 0.00279 0.0228 5.07e-05 0.000194 2.23e-16 0.00666 2.23e-16 2.23e-16 2.23e-16 0.000376 3.31e-06 2.23e-16 7.3e-05 0.000426 0.00204 0.00036 0.000693 0.00529 0.000745 0.00362 0.00214 0.00336 0.000122 4.12e-05 0.00105 2.44e-06 0.0022 0.00628 2.23e-16 0.00529 0.00073 0.00517 0.000363 0.00325 0.00192 0.00124 0.00032 0.00922 0.000155 2.23e-16 5.35e-05 0.0013 0.000204 0.000833 2.23e-16 0.00221 0.00269 2.23e-16 2.16e-05 0.0189
"SBS10B" 0.00203998278277641 0.00867982832562511 0.000494775322937704 0.00207031630294313 0.00150524871409123 0.00200392377613005 0.000504893860954905 0.000169541674391507 0.00349342905364097 0.00349729377366245 0.00038772430832888 0.000169541674391507 0.000169541674391507 0.000169541674391507 0.000305968737577841 0.000169541674391507 0.00120120137167521 0.000699504153603905 0.000169541674391507 0.00107207055011898 0.000284954972283795 0.000393128102891465 0.000169541674391507 0.00047814602871061 0.00113585933104834 0.00024671346765366 0.000169541674391507 0.000931166850152271 0.00108645924585867 0.000554591559726607 0.000169541674391507 0.00172080666085003 0.00707184852417861 0.0123309041545049 0.073400443277007 0.0139781464497986 0.00389551136318513 0.00688216088688707 0.0267623770729737 0.00818825916547036 0.011089982814372 0.041551489995682 0.0959733614799415 0.0335948533190364 0.0125212571701288 0.0396887222125981 0.195836686673199 0.056568824467803 0.00303847958373301 0.00119270629257256 0.000615187352039823 0.0140493092909208 0.000469547500779635 0.000710175518707012 0.000793318857905096 0.00145790821081321 0.0005589764513443 0.000492319070861249 0.000251817887509361 0.00182120851365025 0.00317124794512104 0.000873552497802132 0.000169541674391507 0.00366129011651308 0.0135012809934392 0.00383831596432557 0.00293222169201484 0.00583365761490766 0.0018625444905074 0.00259901466999707 0.000912419950146026 0.00246205893436762 0.0279423101984877 0.0114496087457524 0.00778616759965943 0.0295080119960563 0.0127506192490431 0.0114973658197709 0.00471682070260958 0.00950725977967959 0.000902378907893198 0.00372202256371001 0.00116094750759222 0.0163184152683322 0.00232078915322261 0.00191708300057387 0.00133620784541883 0.0140280850436097 0.000414802809259296 0.00152118578660999 0.000525400550069386 0.00179851835865696 0.00653695832254888 0.00801691943757028 0.00148230409402434 0.079923024835948
"SBS10C" 0.00433145266043067 0.0148302194712279 0.00065711618103902 0.0131277619202124 0.0174329338237838 0.00967042181943386 0.00240460582852613 0.0448873939777216 0.00841770798986352 0.00743435619580612 0.000892211501283163 0.0120575353062343 0.06018580305725 0.00854315600707057 0.00265737281610898 0.188803966741945 0.000347633892310801 0.000325131346638492 4.24335818106468e-05 0.000516305633623826 0.000110201810811223 0.000207582609750355 0.00018022253098145 0.000238267798260736 0.000170107336017754 0.000388351914346128 3.28475745365971e-05 0.000154679646344372 0.000258750324351168 0.000395676572849671 1.03871028532391e-05 0.000347148441492567 0.00486706685605187 0.00524943631308188 0.013019985315525 0.00615621277751885 0.00376117335066708 0.00664382240632547 0.0094715933278099 0.0098372604814541 0.00361386724788926 0.00902990736919312 0.00922420356462418 0.0103831172514751 0.00240343433458873 0.00901811024212493 0.00859141509881588 0.0128012759670545 0.00402005807774053 0.013642364920594 0.00123009128026161 0.0717767269598036 0.000673175995345079 0.00279159772691936 0.00090018812061332 0.00335316785685668 0.00190231516704291 0.00688938564485282 0.00193027891615182 0.0128149995877592 0.00996265158325052 0.00247466418137113 0.000565804888015597 0.00483127101989216 0.0182225378596284 0.00907955457303495 0.016943033887876 0.0127789875253921 0.0119714886529815 0.00978328880945162 0.0146277873497835 0.0192489869472935 0.0127393649132335 0.00606969548274699 0.0127299289447 0.0105699462609989 0.0169987694058205 0.0167597020133725 0.0151153165387459 0.0199208052091363 0.00251923582225346 0.000978867919018152 0.00103876762418443 0.0130558582565527 0.0108141450892023 0.00229699542020507 0.00686482897267188 0.0300124607933175 0.000355060718443313 0.000620308334384202 0.00061424515440568 0.00747367436050711 0.00873076870500675 0.000952155169903759 0.0011083602339478 0.025114705806213
"SBS10D" 0.0101139695135519 0.0184460598341763 0.000726534557978129 0.0141966525908043 0.0100036827393083 0.0148486780051483 0.00101960742077299 0.018549972114909 0.00241907175719314 0.0250397320739673 8.7330782087956e-05 0.0098893416946934 0.258971764875439 0.0144067591957389 0.00769778265916047 0.341876445926685 0.000128896740565299 0.000292095511604645 2.69267447978162e-05 0.000106580770036192 8.17359684772684e-05 0.000124852916162653 2.90258615279342e-05 0.000230805477983167 0.000104301008384182 0.00032515004252862 1.91048511930844e-05 0.000370064932523411 0.000120905995970519 6.54299669336123e-05 1.9573417104251e-05 0.000168726001410671 0.00136790196583553 0.00196342211058735 0.000702930371761392 0.00250772109609097 0.000907688410990864 0.00220279990566597 0.000591946436778997 0.00254107581447825 0.00115448152460712 0.00556684838966248 0.00204662440235061 0.00224814230488493 0.00133201814186702 0.00358401474573189 0.00531416419424056 0.00811321959520525 0.00190397473635455 0.00318662835672214 0.000660449904293088 0.0221637936906852 0.00121612355995871 0.000614976306505402 0.00100382247105333 0.00210910441016432 0.00154636609790061 0.00335296207575771 0.000539585718329903 0.00687477669595284 0.00892578842626951 0.000761366633447982 0.00378194247212571 0.0069698058173539 0.00521479296601786 0.00322795502350425 0.00855587489051188 0.00568142006493223 0.00259925753895609 0.00226580111408942 0.00331748907837822 0.00474692720659948 0.0024316491372068 0.00273773723835453 0.00353347592400027 0.00216680622420104 0.00564833421335546 0.00647906233358883 0.00496822833920109 0.00755489945060561 0.00693223462200924 0.000613639618064527 0.000939706937043501 0.00485570574068897 0.00634234576750458 0.000494857505780763 0.0030767934346793 0.00592491785696071 0.000393074534536407 0.00157296029073594 0.000200060798324658 0.000947835089363538 0.0198976389143985 0.000738317706180713 0.00314796334803787 0.0145282083597554
"SBS10E" 0.00294455046139974 0.0529970882409236 0.000204200082036665 0.000130809594502265 0.0081911341798605 0.00457950360123646 0.00232635145819486 0.00323962559535773 0.00352466455435275 0.00587028924961475 5.90525973571342e-05 0.00116701690210707 0.333883761308447 0.0452385733549299 0.318417550218876 0.0764892532904738 0.000243319459323657 0.000124573614466966 4.72600016687395e-05 8.0876204563098e-05 6.63858120804583e-05 0.00020205722084773 5.34188829007216e-05 0.000100648612470242 3.75650264867377e-05 0.000189375798481573 6.39000484353512e-05 0.000157899032918614 4.87840117744935e-05 0.000153375021203397 2.57875467348049e-05 0.000267230512554382 0.0157634101530637 0.00121493438737799 0.00222754056693685 0.00232619294212912 0.0366140866274658 0.00027078261418399 0.00127656739327648 0.00122197632877838 0.0113072549018697 0.0001314549393008 0.00119186093295401 0.000150440050983366 0.0364543980712274 0.000133887309625883 0.00204749866320557 0.000139780296819048 0.000215264822829132 0.000169235885178583 0.000160199906352066 0.00037385509066041 0.000317266974836884 0.000141907106357913 0.000246237299740317 0.000460321644647702 0.000273731615485016 0.00031824731533806 0.000119027016444554 0.000727982263783311 0.00229357875931564 0.000224179383212792 0.000741770135367468 0.000508383568197773 0.000299841243488636 0.000148825793972971 0.000610604240688731 0.000235211867934782 0.000154627505182636 0.000146081725298389 0.000150462619689685 0.000163439824179005 0.00017140656212447 0.000135451876613749 0.000144828657547873 0.000152534376067502 0.000318737242809893 0.000177915248462985 0.00015027841462437 0.00127376175934652 0.00238815121697493 0.000131587060660205 0.00122049851083922 0.000213945233538338 0.000758216701397419 5.88139112417706e-05 0.000428859838118185 0.000122273228951029 0.000100750411769035 0.00139143019984904 7.33346651268891e-05 5.39387770965705e-05 0.0059546843707242 0.000143443225519016 0.000628245461919583 0.00100868176471552
"SBS17b" 0.000608 0.000129 5.82e-05 0.000456 0.000271 4.11e-05 2.23e-16 0.000182 0.000998 2.78e-06 9.24e-05 0.000534 1.24e-05 2.23e-16 9.51e-05 0.00257 0.000146 4.34e-05 2.23e-16 0.000319 0.000194 4.66e-05 2.23e-16 0.000193 5.99e-05 5.55e-05 2.23e-16 2.23e-16 0.00016 6.18e-05 1.55e-05 0.0015 0.000571 7.03e-05 0.000287 0.000147 0.000457 5.89e-05 0.000543 0.000136 6.11e-05 0.000157 0.000855 2.23e-16 0.000108 0.000604 6.24e-05 0.000895 6.26e-05 0.000289 6.57e-05 0.000633 9.36e-05 0.00224 0.000717 0.00779 9.73e-05 0.000347 0.000241 0.00158 0.00119 0.000242 2.23e-16 0.00131 9.73e-05 0.000252 2.23e-16 0.000544 0.000647 0.00646 0.00392 0.0183 5.95e-05 0.0015 0.00101 0.00147 0.00106 0.0011 0.00121 0.001 0.00141 0.00448 0.00099 0.0691 0.00205 0.0314 0.0137 0.549931419999998 0.000281 0.00625 0.00148 0.114 1.22e-05 0.00875 0.00478 0.122
